,,,,,Points,Averages
,,,,,10,0.00013962
,,,,,100,0.001377916
,,,,,10000,0.172208786
,,,,,100000,1.59679542
,Points,Time,Averages,,500000,8.91185274
0,10,0.000178099,,,1000000,19.4435956
1,10,0.000134945,,,,
2,10,0.000138044,,,,
3,10,0.00012207,0.000139618,,,
4,10,0.000124931,,,,
5,100,0.001464844,,,,
6,100,0.001414776,,,,
7,100,0.001425982,0.001377916,,,
8,100,0.001308918,,,,
9,100,0.001275063,,,,
10,10000,0.158342838,,,,
11,10000,0.266922951,,,,
12,10000,0.159062862,0.172208786,,,
13,10000,0.142051935,,,,
14,10000,0.134663343,,,,
15,100000,1.553653002,,,,
16,100000,1.588960886,,,,
17,100000,1.596174002,1.596795416,,,
18,100000,1.600525141,,,,
19,100000,1.644664049,,,,
20,500000,8.705306053,,,,
21,500000,8.995292902,,,,
22,500000,8.829953909,8.911852741,,,
23,500000,9.106549025,,,,
24,500000,8.922161818,,,,
25,1000000,19.29084992,,,,
26,1000000,19.81233811,,,,
27,1000000,19.24187589,19.44359565,,,
28,1000000,19.77050805,,,,
29,1000000,19.10240626,,,,
